시설명,시설유형,주소,위도,경도
202230300000800218,CCTV,서울특별시 아차산로11길 3,37.543888,127.0590209
202230300000801055,CCTV,서울특별시 연무장길 72,37.5418319,127.0573883
202230300000801047,CCTV,서울특별시 뚝섬로17길 3 (성수동2가),37.5377464,127.059616
202230300000800030,CCTV,서울특별시 뚝섬로13길 22,37.5395584,127.0578613
202230300000800600,CCTV,서울특별시 송정12다길 5,37.5499725,127.0664749
202230300000801122,CCTV,서울특별시 아차산로13길 11,37.5445332,127.0609972
202230300000800762,CCTV,서울특별시 자동차시장1길 32,37.5611572,127.0609741
202230300000800170,CCTV,서울특별시 성수이로16길 21,37.5404777,127.0591049
202230300000800343,CCTV,서울특별시 둘레21가길 19 골목,37.5358581,127.0582733
202230300000801084,CCTV,서울특별시 아차산로17길 26,37.5444984,127.0643692
202230300000801223,CCTV,서울특별시 송정길 50,37.5497856,127.0649642
202230300000800791,CCTV,서울특별시 뚝섬로 424,37.538007,127.057755
202230300000800315,CCTV,서울특별시 아차산로17길 21,37.5448341,127.0628433
202230300000801068,CCTV,서울특별시 자동차시장1길 96 (용답동),37.5601158,127.0681228
202230300000801204,CCTV,서울특별시 성덕정길 151,37.5364723,127.0600814
202230300000800993,CCTV,서울특별시 송정16길 5 (송정동),37.5523147,127.0676116
202230300000800796,CCTV,서울특별시 성수이로 137,37.546381,127.057541
202230300000800380,CCTV,서울특별시 송정12라길59,37.5517044,127.0685272
202230300000800761,CCTV,서울특별시 자동차시장3길 1,37.5614929,127.057434
202230300000800005,CCTV,서울특별시 아차산로 110,37.5442314,127.0567855
202230300000800831,CCTV,서울특별시 뚝섬로 427-8,37.53841,127.057903
202230300000800036,CCTV,,37.5523033,127.0685958
202230300000800731,CCTV,서울특별시 송정18가길 13,37.55353,127.068745
202230300000800647,CCTV,서울특별시 송정길 60,37.550579,127.0655975
202230300000800597,CCTV,서울특별시 송정12다길 19,37.5504837,127.0668945
202230300000800588,CCTV,서울특별시 송정4가길 39,37.5507354,127.0660629
202230300000800345,CCTV,서울특별시 송정18가길32,37.5552444,127.0694732
202230300000801298,CCTV,서울특별시 성수이로12길 14,37.53978,127.0566
202230300000800133,CCTV,서울특별시 아차산로13길 21,37.5452842,127.0613098
202230300000801063,CCTV,서울특별시 천호대로 394 (용답동),37.5616226,127.062622
202230300000801310,CCTV,서울특별시 자동차시장1길 103,37.56007,127.069535
202230300000801146,CCTV,,37.5482662,127.064072
202230300000800220,CCTV,서울특별시 송정12마길 24,37.5501708,127.0676345
202230300000800834,CCTV,서울특별시 송정6길 15-1,37.548889,127.066112
202230300000800587,CCTV,서울특별시 동일로43가길 13,37.5543632,127.0701599
202230300000800992,CCTV,서울특별시 송정14길 17 (송정동),37.5510177,127.0682983
202230300000800599,CCTV,서울특별시 동일로 263-39,37.5553131,127.0707931
202230300000800646,CCTV,서울특별시 송정12길 1,37.5500831,127.0655593
202230300000800590,CCTV,서울특별시 송정12라길 20,37.5502319,127.067398
202230300000800679,CCTV,서울특별시 성덕정길 144,37.5364341,127.0592727
202230300000800582,CCTV,서울특별시 동일로57길 11,37.5574035,127.0710525
202230300000800087,CCTV,서울특별시 아차산로13길 42,37.5467033,127.0621109
202230300000801222,CCTV,서울특별시 연무장길 81,37.541685,127.058115
202230300000800219,CCTV,서울특별시 광나루로 297,37.5487174,127.0622482
202230300000800303,CCTV,서울특별시 자동차시장길 22,37.5619812,127.0572967
202230300000800289,CCTV,서울특별시 송정길 8,37.5486907,127.0610198
202230300000800801,CCTV,서울특별시 광나루로 323,37.548344,127.065557
202230300000800966,CCTV,,37.5488005,127.0630857
202230300000800780,CCTV,서울특별시 송정동 73-448,37.55335,127.06673
202230300000800866,CCTV,서울특별시 송정18가길 27,37.554748,127.069388
202230300000800037,CCTV,서울특별시 광나루로11길 18,37.5495491,127.0664825
202230300000800277,CCTV,서울특별시 송정12가길 50,37.5518531,127.0673904
