시설명,시설유형,주소,위도,경도,데이터출처
CCTV,CCTV,서울특별시 광진구 자양로43길 8 (구의동),37.55123,127.09106,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 영화사로11길 22 (구의동),37.55551,127.09424,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 영화사로15길 25,37.55511,127.09508,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로135길 16 (구의동),37.55012,127.09224,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로137길 10 (구의동),37.54978,127.09315,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로42길 42-24 (구의동),37.54794,127.09165,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로35길 35,37.54811,127.08595,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로37길 21 (구의동),37.54836,127.08697,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로33길 44 (구의동),37.54784,127.08634,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로134길 55 (구의동),37.54723,127.08858,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로36길 17-12 (구의동),37.54649,127.08829,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 자양로36길 11 (구의동),37.54627,127.08754,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로132길 27-7 (구의동),37.54939,127.08908,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 광나루로44길 9 (구의동),37.54383,127.09155,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 구의로16길 36 (구의동),37.54344,127.0926,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 광나루로52길 12 (구의동),37.54127,127.09471,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 아차산로65길 14 (구의동),37.54097,127.09414,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 구의로4길 51 (구의동),37.54071,127.09224,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 구의로6길 21 (구의동),37.5415,127.09104,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 아차산로63길 37 (구의동),37.54131,127.09216,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 구의로4길 40 (구의동),37.54045,127.09164,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 구의로4길 60 (구의동),37.54109,127.09275,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 광나루로52길 43 (구의동),37.54043,127.09325,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 아차산로60길 13-13 (구의동),37.5383,127.09237,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 광나루로52길 83 (구의동),37.53933,127.0915,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 아차산로59길 21-13 (구의동),37.53973,127.09007,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 구의로4길 7-16 (구의동),37.54083,127.09014,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 구의로 56 (구의동),37.54292,127.09031,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 아차산로59길 13 (구의동),37.53948,127.0907,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 뚝섬로67길 23 (구의동),37.53546,127.09062,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 천호대로104나길 8 (군자동),37.55718,127.07503,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 면목로 27 (군자동),37.55671,127.07609,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 면목로6길 18 (군자동),37.55611,127.07658,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로27길 33 (군자동),37.55472,127.07657,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로27나길 17 (군자동),37.55418,127.07581,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 능동로25길 22 (군자동),37.55299,127.07587,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 동일로52길 15-14 (군자동),37.55536,127.07253,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 동일로48길 14-10 (군자동),37.55391,127.07102,기존_광진구통합본
CCTV,CCTV,서울특별시 광진구 군자로15길 10-6 (군자동),37.55406,127.07362,기존_광진구통합본
